Seria_no,Product_Name,Product_Brand_Name,Product_Category,Product_Subcategory,Product_Description,Product_Image
1,oneplus 7t,oneplus,electronics,mobiles,6 gb ram 128 gb rom,https://rukminim1.flixcart.com/image/416/416/k1b1bbk0/mobile/7/y/v/oneplus-7t-hd1901-original-imafkwsykmpfmf3g.jpeg?q=70
2,oneplus 7,oneplus,electronics,mobiles,6 gb ram 128 gb rom,https://rukminim1.flixcart.com/image/416/416/k08gfbk0/mobile/t/d/4/oneplus-7-gm1901-original-imafj2chjze3u8xg.jpeg?q=70
3,oneplus 7 pro,oneplus,electronics,mobiles,6 gb ram 128 gb rom,https://rukminim1.flixcart.com/image/416/416/k0cqqvk0/mobile/q/s/4/oneplus-7-pro-gm1911-original-imafk5wg3yxjtbwp.jpeg?q=70
4,oneplus 7t pro,oneplus,electronics,mobiles,8 gb ram 256 gb rom,https://rukminim1.flixcart.com/image/416/416/k1v1h8w0/mobile/j/p/f/oneplus-7t-pro-hd1901-original-imafhck22abeqsqm.jpeg?q=70
5,galaxy m30,samsung,electronics,mobiles,6 gb ram and 128 gb rom,https://images-na.ssl-images-amazon.com/images/I/81Ir1ZnwJsL._SY550_.jpg
6,galaxy m30s,samsung,electronics,mobiles,6 gb ram and 128 gb rom,https://images-na.ssl-images-amazon.com/images/I/71EvOK7BhuL._SY679_.jpg
7,galaxy a30,samsung,electronics,mobiles,4 gb ram and 64 gb rom,https://images-na.ssl-images-amazon.com/images/I/71I2jnOirqL._SY550_.jpg
8,galaxy note 10 ,samsung,electronics,mobiles,8 gb ram and 256 gb rom,https://images-na.ssl-images-amazon.com/images/I/71JJB8w5erL._SX679_.jpg
9,galaxy watch sm-r800nzsaxar,samsung,electronics,electronic watch,46 mm,https://images-na.ssl-images-amazon.com/images/I/81t4fXQ7vtL._AC_SX466_.jpg
10,nokia 6.1 plus,nokia,electronics,mobiles,6 gb ram 64 gb rom,https://rukminim1.flixcart.com/image/416/416/jl16s280/mobile/t/v/q/nokia-6-1-plus-na-original-imaf892edytmjfgg.jpeg?q=70
11,nokia 7.2,nokia,electronics,mobiles,6 gb ram 64 gm rom,https://rukminim1.flixcart.com/image/416/416/k2jbyq80pkrrdj/mobile-refurbished/h/a/m/7-2-64-d-ta-1193-ds-nokia-6-original-imafkj8kqzhmkt4d.jpeg?q=70
12,nokia 6.2,nokia,electronics,mobiles,4 gb ram 64 gb rom,https://rukminim1.flixcart.com/image/416/416/k1qr5ow0/mobile/k/e/g/nokia-6-2-ta-1201-original-imafh9fc2pfaqfha.jpeg?q=70
13,nokia 6.1 ,nokia,electronics,mobiles,4 gb ram 64 gb rom,https://rukminim1.flixcart.com/image/416/416/ji20r680/mobile/f/2/v/nokia-6-1-6-1-original-imaf5g8sqszd4ewu.jpeg?q=70
14,dell vostro 3558,dell,electronics,laptops,6gb ram 1tb rom i7,https://www.91-img.com/pictures/laptops/dell/dell-15-3558-z555107uin9-core-i3-5th-gen-4-gb-1-tb-ubuntu-2-gb-98569-v2-large-1.jpg
15,lattitude e5450,dell,electronics,laptops,8gb ram 1tb rom i5,https://assets.pcmag.com/media/images/507437-dell-latitude-7390.jpg?width=810&height=456
16,inspiron i3 7000,dell,electronics,laptops,6gb ram 1tb rom i3,https://assets.pcmag.com/media/images/532206-dell-inspiron-13-7000-2019-1.jpg?width=810&height=456
17,macbook air,apple,electronics,laptops,16gb ram 1TB ssd,https://rukminim1.flixcart.com/image/416/416/jsnjbm80/computer/j/8/c/apple-na-thin-and-light-laptop-original-imafe6f78hur4jbh.jpeg?q=70
18,iphone x,apple,electronics,mobiles,12mp dual camera. 64gb ,https://rukminim1.flixcart.com/image/416/416/j9d3bm80/mobile/k/x/a/apple-iphone-x-mqa82hn-a-original-imaeyysgmypxmazk.jpeg?q=70
19,iphone xr,apple,electronics,mobiles,12mp single camera. 64gb,https://rukminim1.flixcart.com/image/416/416/jnj7iq80/mobile/y/q/d/apple-iphone-xr-mry52hn-a-original-imafa6zkfgwpnsgz.jpeg?q=70
20,watch series 5,apple,electronics,electronic watch,40 mm,https://rukminim1.flixcart.com/image/416/416/k0o69ow0/smartwatch/e/h/x/mwx12hn-a-apple-original-imafkffzenh86qgy.jpeg?q=70
21,playstation 4,sony,electronics,gaming,slim console 1tb,https://images-na.ssl-images-amazon.com/images/I/71pFB-gWFdL._AC_SX679_.jpg
22,xperia xz2,sony,electronics,mobiles,"6 gb ram, 64 gb rom",https://rukminim1.flixcart.com/image/416/416/jkbguq80/mobile/2/s/m/sony-xperia-xz2-na-original-imaf7zvvhuxxf7hf.jpeg?q=70
